dataset,changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,rmse,mae,r2
trace15.csv,0.05,True,additive,10.0,189.02249576769955,147.83323669433594,0.648371696472168
trace15.csv,0.05,True,multiplicative,0.01,270.76221983042615,238.2710723876953,0.2785055637359619
trace15.csv,0.05,True,multiplicative,0.1,185.46305014409205,140.88694763183594,0.6614899039268494
trace15.csv,0.05,True,multiplicative,1.0,183.53357790537947,139.96136474609375,0.6684966683387756
trace15.csv,0.05,True,multiplicative,10.0,185.1775225121829,140.01121520996094,0.6625313758850098
trace15.csv,0.05,False,additive,0.01,390.5673557467393,335.9602355957031,-0.5012351274490356
trace15.csv,0.05,False,additive,0.1,390.5673557467393,335.9602355957031,-0.5012351274490356
trace15.csv,0.05,False,additive,1.0,390.5673557467393,335.9602355957031,-0.5012351274490356
trace15.csv,0.05,False,additive,10.0,390.5673557467393,335.9602355957031,-0.5012351274490356
trace15.csv,0.05,False,multiplicative,0.01,390.5673557467393,335.9602355957031,-0.5012351274490356
trace15.csv,0.05,False,multiplicative,0.1,390.5673557467393,335.9602355957031,-0.5012351274490356
trace15.csv,0.05,False,multiplicative,1.0,390.5673557467393,335.9602355957031,-0.5012351274490356
trace15.csv,0.05,False,multiplicative,10.0,390.5673557467393,335.9602355957031,-0.5012351274490356
trace15.csv,0.1,True,additive,0.01,192.4547126111751,151.05406188964844,0.6354862451553345
trace15.csv,0.1,True,additive,0.1,188.66993334922233,146.58621215820312,0.6496821641921997
trace15.csv,0.1,True,additive,1.0,188.41781613610746,146.83763122558594,0.650617778301239
trace15.csv,0.1,True,additive,10.0,188.2673049815076,146.4439697265625,0.6511757373809814
